Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Jānis Krišāns	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	1	1960	SIA "Rēzeknes slimnīca"	Valdes loceklis
Jevgeņija Krjukova	1 "Latvijas Krievu savienība"	Latgale	1	1981	partija "Latvijas Krievu savienība"	Valdes locekle
Edgars Kronbergs	15 Politiskā partija "KPV LV"	Kurzeme	7	1983	Saldus novada pašvaldība	Vides pārvaldības speciālists
Ģirts Kronbergs	11 Latvijas Reģionu Apvienība	Kurzeme	2	1974	Liepājas pilsētas pašvaldības administrācija	Domes priekšsēdētāja vietnieks
Fjodors Krupenkins	1 "Latvijas Krievu savienība"	Vidzeme	9	1950	Saldus Tūrisma un sporta centrs	ansambļa "Lira" vadītājs
Angelika Krūmiņa	16 Zaļo un Zemnieku savienība	Rīga	27	1970	Rīgas Stradiņa universitāte	Profesore
Ilona Krūmiņa	2 Jaunā konservatīvā partija	Vidzeme	23	1970	Biedrība “Sabiedrības izaugsmei”	Valdes priekšsēdētāja
Andrējs Krūmiņš	12 "Latviešu Nacionālisti"	Rīga	14	1953	AS Altum	Informācijas sistēmu projektu vadītājs
Jānis Krūmiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	15	1982	Kokneses novada dome	Deputāts
Jānis Atis Krūmiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	10	1961	Rīgas Valdorfskola	Skolotājs
Kārlis Krūmiņš	12 "Latviešu Nacionālisti"	Zemgale	1	1940	Partija “Tēvzemes mantojums”	Valdes pr-ja vietnieks
Varis Krūmiņš	11 Latvijas Reģionu Apvienība	Vidzeme	3	1961	Latvijas Republikas Saeima	deputāts
Armands Krūze	16 Zaļo un Zemnieku savienība	Rīga	19	1959	Rīgas domes pilsētas Attīstības departaments	Direktora p.i.
Rita Kubuliņa	5 "PROGRESĪVIE"	Rīga	23	1989	Biedrība "Papardes zieds"	Sabiedrības veselības speciāliste
Zane Kubuliņa	16 Zaļo un Zemnieku savienība	Vidzeme	21	1974	Biedrība "Zaļi Ādaži"	Valdes locekle
Edgars Kucins	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	10	1973	Daugavpils novada dome	Deputāts
Māris Kučinskis	16 Zaļo un Zemnieku savienība	Vidzeme	1	1961	Valsts Kanceleja	Ministru prezidents
Raimonds Kučinskis	15 Politiskā partija "KPV LV"	Kurzeme	11	1962	SIA "Screen group"	Apsargs
Valdis Kudiņš	5 "PROGRESĪVIE"	Latgale	5	1976	Pašnodarbinātais	
Rūdolfs Kudļa	11 Latvijas Reģionu Apvienība	Vidzeme	7	1991	LR Labklājības ministrija ES struktūrfondu departaments	vecākais referents
Valentīna Kudrjavceva	1 "Latvijas Krievu savienība"	Zemgale	4	1967	A/S Orbīta	vērtētāja
Nelli Kujavska	1 "Latvijas Krievu savienība"	Kurzeme	4	1947	Pensionārs/pensionāre	
Valentīns Kukla	13 Jaunā VIENOTĪBA	Zemgale	6	1982	SIA Goldkorn	valdes loceklis
Kristīne Kuļeva	5 "PROGRESĪVIE"	Rīga	25	1995	SIA “Hansavest”	Valdes locekle
Ēriks Kumerdanks	10 Attīstībai/Par!	Vidzeme	9	1964	SIA "Rehateh"	Valdes priekšsēdētājs
Jānis Kupris	13 Jaunā VIENOTĪBA	Latgale	11	1955	Riebiņu novada dome	deputāts
Smaida Kurme	12 "Latviešu Nacionālisti"	Vidzeme	15	1951	Pensionārs/pensionāre	
Jevgenija Kurpniece	12 "Latviešu Nacionālisti"	Kurzeme	7	1944	Pensionārs/pensionāre	
Janīna Kursīte	15 Politiskā partija "KPV LV"	Latgale	10	1964	Latvijas Republikas Saeima	deputāta Anrija Matīsa palīdze
Janīna Kursīte-Pakule	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	2	1952	Latvijas Republikas Saeima	Deputāte
Andis Kursītis	2 Jaunā konservatīvā partija	Zemgale	6	1981	“Latvijas Lauku konsultāciju un izglītības centrs” SIA	Tālākizglītības nodaļas vadītājs
Elīza Krista Kurvīte	12 "Latviešu Nacionālisti"	Vidzeme	9	1993	PII "Māra"	Mūzikas skolotāja
Uldis Kurvīts	12 "Latviešu Nacionālisti"	Vidzeme	12	1986	Bezdarbnieks/bezdarbniece	
Jānis Kuzins	14 Par Alternatīvu	Latgale	1	1983	Valdes loceklis	Politisko pariju apvienība Par Alternatīvu
Aleksandrs Kuzmins	1 "Latvijas Krievu savienība"	Rīga	3	1984	Eiropas Parlaments	deputāta palīgs
Jeļena Kuzņecova	1 "Latvijas Krievu savienība"	Zemgale	12	1984	"Zelta birste"	vadītāja
Dainis Kūla	16 Zaļo un Zemnieku savienība	Kurzeme	15	1959	Kurekss SIA	Iepirkuma speciālists
Gunārs Kūtris	16 Zaļo un Zemnieku savienība	Vidzeme	15	1960	Latvijas Universitāte	Lektors
Sintija Kvēpa	10 Attīstībai/Par!	Vidzeme	11	1979	Rakstniecības un mūzikas muzejs	Personāla lietu pārzine
Jānis Ķemers	15 Politiskā partija "KPV LV"	Rīga	34	1960	Greencore Food To Go Ltd	Strādnieks
Henrijs Ķeružis	2 Jaunā konservatīvā partija	Kurzeme	13	1968	Gramzdas pamatskola	Direktors
Raivis Ķirsons	13 Jaunā VIENOTĪBA	Rīga	21	1977	Luminor Bank AS	Vecākais projektu vadītājs
Ervins Labanovskis	5 "PROGRESĪVIE"	Vidzeme	2	1980	SIA "Kainaiži"	valdes loceklis
Artjoms Labejevs	3 Rīcības partija	Rīga	2	1984	Rīcības partija	Sabiedrisko attiecību nodaļas vadītajs
Valdis Labinskis	11 Latvijas Reģionu Apvienība	Latgale	10	1957	Līvānu novada dome	deputāts
Jānis Labrencis	12 "Latviešu Nacionālisti"	Kurzeme	4	1938	Pensionārs/pensionāre	
Ingrīda Labsvīra	5 "PROGRESĪVIE"	Rīga	29	1985	SIA "Bureau Veritas Latvia"	Klientu menedžere
Edgars Labsvīrs	5 "PROGRESĪVIE"	Latgale	8	1985	Nacionālais veselības dienests	Direktora vietnieks veselības aprūpes administrēšanas jautājumos
Inese Lagzdiņa	8 No sirds Latvijai	Rīga	20	1976	AS "Latvijas finieris"	Operators
Margita Lagzdiņa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	36	1971	Rīgas pilsētas pašvaldība	Pedagogs, karjeras konsultants
Kristaps Lagzdiņš	8 No sirds Latvijai	Rīga	19	1984	AS "Latvijas finieris"	Operators
Uģis Lagzdiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	9	1965	SIA "LG Motors"	Jurists-konsultants
Gunārs Laicāns	13 Jaunā VIENOTĪBA	Kurzeme	15	1949	Dundagas vidusskola	muzeja pedagogs
Haralds Laidiņš	2 Jaunā konservatīvā partija	Zemgale	3	1961	Izdienas pensionārs	
Edgars Laimiņš	13 Jaunā VIENOTĪBA	Zemgale	10	1976	Dobeles novada pašvaldība	Deputāts
Inese Laizāne	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	2	1971	Latvijas Republikas Saeima	Deputāte
Māra Laizāne	10 Attīstībai/Par!	Rīga	14	1989	SIA "Blue Line Consulting"	Valdes locekle
Aivars Laizāns	3 Rīcības partija	Vidzeme	9	1962	NRC Vaivari	operators
Ivo Lakučs	13 Jaunā VIENOTĪBA	Vidzeme	11	1979	Latvijas Riteņbraukšanas federācija	LRF BMX izlases galvenais treneris
Olita Landsmane	15 Politiskā partija "KPV LV"	Vidzeme	18	1966	Alojas novada dome	Administrācijas un personālvadības nodaļas vadītāja
Baiba Lange	11 Latvijas Reģionu Apvienība	Kurzeme	4	1986	“ROTA IG” SIA	Viesu uzņemšanas organizators
Līga Langrate	2 Jaunā konservatīvā partija	Vidzeme	12	1969	Alūksnes novada dome	Deputāte
Mārtiņš Langrāts	13 Jaunā VIENOTĪBA	Kurzeme	13	1975	Latvijas Republikas Izglītības un zinātnes ministrija	Ministra padomnieks
Aleksandrs Lapajevs	15 Politiskā partija "KPV LV"	Rīga	4	1986	SIA Antic One	Valdes loceklis
Gaits Lapsa	10 Attīstībai/Par!	Latgale	13	1992	SIA "KLB"	Menedžeris
Andrejs Larionovs	1 "Latvijas Krievu savienība"	Rīga	28	1971	SIA Lietas MD	noliktavas darbinieks
Zaiga Lasmane	5 "PROGRESĪVIE"	Vidzeme	11	1980	Nodibinājums "Centrs Dardedze"	Projektu koordinatore
Aivars Lasmanis	12 "Latviešu Nacionālisti"	Kurzeme	2	1956	Nodibinājums "Health Institute"	Valdes priekšsēdētājs
Māris Lasmanis	11 Latvijas Reģionu Apvienība	Rīga	15	1961	Ulbrokas vidusskola	Koncertmeistars
Inta Latišenoka	12 "Latviešu Nacionālisti"	Zemgale	6	1949	Pensionārs/pensionāre	
Ainars Latkovskis	13 Jaunā VIENOTĪBA	Vidzeme	3	1967	Latvijas Republikas Saeima	Deputāts, Aizsardzības, iekšlietu un korupcijas novēršanas komisijas priekšsēdētājs
Renārs Latvens	11 Latvijas Reģionu Apvienība	Kurzeme	9	1977	Nīcas novada dome	deputāts
Santa Laurinoviča	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	8	1969	Saldus novada pašvaldības aģentūra "Saldus Tūrisma informācijas, kultūras un sporta centrs"	Deju kopas ''Bandava'' mākslinieciskā vadītāja
Guntis Laurins	5 "PROGRESĪVIE"	Vidzeme	13	1983	SIA "Mikrotīkls"	Elektronikas inženieris
Valdis Lauskis	11 Latvijas Reģionu Apvienība	Latgale	5	1957	Daugavpils latgaliešu biedrība	Priekšsēdētājs
Sergejs Lavrenovs	1 "Latvijas Krievu savienība"	Latgale	11	1966	A/S LDZ RSS	atslēdznieks
Jeļena Lazareva	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	9	1972	Latvijas Republikas Saeima	12. Saeimas deputāte
Elita Lazda	15 Politiskā partija "KPV LV"	Rīga	10	1969	Valsts akreditēta augstākās izglītības iestāde Alberta koledža	Lektore
Ieva Lazda	5 "PROGRESĪVIE"	Vidzeme	5	1978	Jūrmalas pašvaldības iestāde "Sprīdītis"	Pedagogs, sociālais aprūpētājs
Raimonds Lazda	10 Attīstībai/Par!	Latgale	7	1957	Biedrība "Sociālās attīstības aģentūra "Pieci airi"	Valdes priekšsēdētājs
Jānis Lazdāns	13 Jaunā VIENOTĪBA	Rīga	25	1972	SIA La Renaissance des Manoir	Valdes loceklis
Kaspars Lazdiņš	5 "PROGRESĪVIE"	Rīga	24	1986	SIA „Mērniecības risinājumi”	Valdes loceklis
Dmitrijs Lācis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	16	1973	SIA "Kopmans &Co"	Valdes priekšsēdētājs
Nauris Lārmanis	5 "PROGRESĪVIE"	Vidzeme	20	1985	iSurvey Offshore Ltd	Mērnieks (Offshore surveyor)
Jānis Lediņš	16 Zaļo un Zemnieku savienība	Vidzeme	4	1964	Jūrmalas dome	Pilsētsaimniecības un drošības komitejas priekšsēdētājs, deputāts
Kristīne Legzdiņa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	19	1979	SIA "PBS"	Valdes priekšsēdētāja
Aivars Legzdiņš	12 "Latviešu Nacionālisti"	Rīga	12	1959	Bezdarbnieks/bezdarbniece	
Anda Leikuma	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	12	1962	Latgales ciltslietu un mākslīgās apsēklošanas stacija	Dzīvnieku vērtēšanas eksperts
Arvis Leinbergs	7 "LSDSP/KDS/GKL"	Kurzeme	4	1973	SIA "FIREWOOD PROCESSING"	valdes priekšsēdētājs
Pēteris Leiškalns	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	9	1955	Latvijas darba devēju konfederācija	Sociālās drošības un veselības aprūpes eksperts
Līga Leitāne	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	11	1975	Latvijas Universitāte	Lektore, pētniece
Aivars Leitāns	3 Rīcības partija	Zemgale	2	1965	SIA "COPs"	Valdes loceklis
Jūlija Leite	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	25	1983	Ieslodzījuma vietu pārvalde, Valmieras cietums	Zobārste
Jānis Leitis	16 Zaļo un Zemnieku savienība	Vidzeme	17	1958	Burtnieku novada dome	Deputāts
Artūrs Leitlands	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	23	1991	Students/studente	
Uldis Lejava	2 Jaunā konservatīvā partija	Zemgale	13	1973	"Latvijas valsts meži" AS	Drošības un kontroles speciālists
Atis Lejiņš	13 Jaunā VIENOTĪBA	Zemgale	4	1942	Latvijas Republikas 12. Saeima	Deputāts
Raimonds Lejnieks-Puķe	7 "LSDSP/KDS/GKL"	Zemgale	5	1986	SIA "Grifs AG"	uzraugs
Viktorija Lene	16 Zaļo un Zemnieku savienība	Latgale	12	1961	SIA Latvijas lauku konsultācijas un izglītības centrs	Lauku attīstības konsultante
Inese Leoho-Čudare	2 Jaunā konservatīvā partija	Zemgale	12	1981	"A.C./D.C." SIA	Komercdirektore
Ainārs Lezdiņš	3 Rīcības partija	Vidzeme	10	1966	Pašnodarbinātais	Zvērināts advokāts
Kristiāns Lēģeris	13 Jaunā VIENOTĪBA	Rīga	27	1989	Students/studente	
Guntis Libeks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	5	1958	Jaunjelgavas novada dome	Domes priekšsēdētājs
Jānis Liberts	2 Jaunā konservatīvā partija	Rīga	32	1981	"Attīstības finanšu institūcija Altum" AS	Jurists
Vadims Ličāgins	11 Latvijas Reģionu Apvienība	Rīga	35	1965	AS Olaines ūdens un siltums	elektriķis
Inga Liepa-Meiere	5 "PROGRESĪVIE"	Vidzeme	1	1978	Biedrības "Latvijas Samariešu apvienība" dienests "Samariešu atbalsts mājās"	Vadītāja vietniece
Linda Liepiņa	15 Politiskā partija "KPV LV"	Vidzeme	1	1974	"Wok Rīga" SIA	Valdes locekle
Aigars Liepiņš	5 "PROGRESĪVIE"	Vidzeme	22	1963	Aizsardzības ministrija	Nodaļas vadītājs
Gints Liepiņš	15 Politiskā partija "KPV LV"	Kurzeme	13	1967	Liepins Gourmet	Pašnodarbinātais
Jānis Liepiņš	7 "LSDSP/KDS/GKL"	Vidzeme	9	1974	SIA EUROLIFE LATVIJA	pārdošanas vadītājs
Krišjānis Liepiņš	13 Jaunā VIENOTĪBA	Rīga	26	1985	Biedrība Bērnu Vides skola	projektu vadītājs
Viesturs Liepkalns	10 Attīstībai/Par!	Vidzeme	5	1988	Politisko partiju apvienība "Attīstībai/Par!"	Valdes loceklis
Mārtiņš Limanskis	13 Jaunā VIENOTĪBA	Zemgale	16	1985	IKU "Eduards"	Komercdarbības speciālists
Ņina Linde	16 Zaļo un Zemnieku savienība	Rīga	10	1971	SIA “Latvijas Zinātņu akadēmijas Ekonomikas institūts”	Valdes priekšsēdētāja
Ēriks Lingebērziņš	10 Attīstībai/Par!	Kurzeme	7	1982	SIA "Balticvision Riga"	Valdes loceklis, izpilddirektors
Tālis Linkaits	2 Jaunā konservatīvā partija	Rīga	4	1970	Valsts reģionālās attīstības aģentūra	VASAB sekretariāta vadītājs
Pēteris Liopa	12 "Latviešu Nacionālisti"	Zemgale	11	1958	Bauskas ūdens saimniecība	Automātiķis
Endijs Lisovskis	10 Attīstībai/Par!	Zemgale	13	1984	Pašnodarbināta persona	
Valentina Lišeņa	1 "Latvijas Krievu savienība"	Kurzeme	6	1968	Saimnieciskās darbības veicēja	pašnodarbinātā persona
Linda Litvina	11 Latvijas Reģionu Apvienība	Rīga	11	1983	PIKC "Rīgas Valsts tehnikums"	Grāmatvede, pedagogs
Ernests Lībietis	11 Latvijas Reģionu Apvienība	Rīga	26	1978	Biedrība “Ernesta Lībieša Rokmūzikas skola”	valdes loceklis
Inese Lībiņa-Egnere	13 Jaunā VIENOTĪBA	Vidzeme	1	1977	Latvijas Republikas Saeima	12.Saeimas deputāte
Normunds Līcis	11 Latvijas Reģionu Apvienība	Vidzeme	14	1972	Saulkrastu novada pašvaldība	deputāts
Reinis Līcis	16 Zaļo un Zemnieku savienība	Latgale	10	1988	Ilūkstes novada pašvaldība	Izpilddirektora p.i./ būvvaldes vadītājs
Pēteris Līdacis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	33	1991	SIA "Grante Utensils"	Valdes priekšsēdētājs
Uldis Līkops	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	13	1953	Biedrība "Latvijas Sarkanais Krusts"	Ģenerālsekretārs
Sarma Līne	13 Jaunā VIENOTĪBA	Vidzeme	26	1936	SIA "Rūtuo"	darbinieks
Dainis Locis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	6	1964	Nacionālā apvienība „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK”	Valdes loceklis
Jānis Locis	12 "Latviešu Nacionālisti"	Zemgale	5	1961	Bezdarbnieks/bezdarbniece	
Regīna Ločmele-Luņova	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	4	1966	Rīgas dome	Deputāte
Otto Lodiņš	2 Jaunā konservatīvā partija	Latgale	14	1969	"Mērteh" SIA	Pārdošanas speciālists
Tatjana Logačova	1 "Latvijas Krievu savienība"	Zemgale	16	1962	Universālveikals Aizkraukle	pārdevēja
Agnese Logina	5 "PROGRESĪVIE"	Latgale	1	1990	Latvijas Kultūras akadēmijas Rīgas Kino muzejs	Kuratore
Solveta Logina	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	11	1977	Baltinavas vidusskola	Fizikas skolotāja
Artis Logins	11 Latvijas Reģionu Apvienība	Latgale	9	1977	Rīgas nami SIA	Finanšu pārvaldes direktors
Aleksejs Loskutovs	13 Jaunā VIENOTĪBA	Rīga	11	1962	Latvijas Republikas Saeima	deputāts
Haralds Lučkovskis	8 No sirds Latvijai	Zemgale	5	1974	Neatliekamās medicīniskās palīdzības dienests	Galvenais speciālists - eksperts
Dmitrijs Lukašenoks	15 Politiskā partija "KPV LV"	Latgale	9	1985	SIA “LAT COSMETICS”	Direktors
Terēza Luksa-Sigate	11 Latvijas Reģionu Apvienība	Vidzeme	28	1982	Garkalnes novada pašvaldība	deputāte
Ruta Lukševica	12 "Latviešu Nacionālisti"	Zemgale	10	1955	Pensionārs/pensionāre	
Artūrs Luņevs	10 Attīstībai/Par!	Zemgale	12	1992	Latvijas Ģeotelpiskās informācijas aģentūra	Kartogrāfijas inženieris - informātiķis
Māris Luste	13 Jaunā VIENOTĪBA	Vidzeme	21	1973	Ieslodzījuma vietu pārvalde	Projektu vadītājs
Linda Lūse	8 No sirds Latvijai	Vidzeme	17	1984	SIA “iT on”	Projektu vadītāja biznesa attīstības jautājumos
Ēriks Lūsis	8 No sirds Latvijai	Vidzeme	2	1978	SIA "IT ON"	Valdes loceklis
Ivars Lūsis	3 Rīcības partija	Vidzeme	8	1973	pašnodarbinātais	Celtnieks
Voldemārs Lūsis	16 Zaļo un Zemnieku savienība	Rīga	23	1974	SIA KV INVEST BALTIC	Valdes loceklis
Sandra Ļahova	8 No sirds Latvijai	Latgale	8	1965	AS "Tallink Latvija"	Restorāna departaments
Danuta Ļevčenko	12 "Latviešu Nacionālisti"	Latgale	3	1991	Bezdarbnieks/bezdarbniece	
Aleksandrs Ļivčaks	1 "Latvijas Krievu savienība"	Latgale	2	1964	Latvijas Krievu savienība	Valdes loceklis
Romualds Maculevičs	8 No sirds Latvijai	Latgale	9	1952	Pensionārs/pensionāre	
Valda Madalāne	11 Latvijas Reģionu Apvienība	Rīga	22	1970	Pašnodarbināta persona	
Egils Matīss Madelis	15 Politiskā partija "KPV LV"	Kurzeme	6	1946	Andra Baumane	klientu apkalpošanas speciālists
Aivars Maizītis	15 Politiskā partija "KPV LV"	Kurzeme	15	1963	IK "AG-AUTO"	Īpašnieks
Vitālijs Maizītis	11 Latvijas Reģionu Apvienība	Latgale	14	1986	SIA “DaVKA”	Siltumapgādes, gāzes, ūdensapgādes inženieris
Igors Majorovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	35	1990	SIA " CERTEX Latvija"	Tirdzniecības pārstāvis
Jānis Makkars	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	10	1957	Latvijas Republikas Aizsardzības Ministrija	Militārpersonas izdienas pensija
Gaļina Maksimova	15 Politiskā partija "KPV LV"	Rīga	33	1969	SIA "Euroclub"	Valdes locekle
Kristīne Maksimova	15 Politiskā partija "KPV LV"	Zemgale	11	1983	SIA "VILAG"	Biroja administratore
Aleksandrs Malnačs	1 "Latvijas Krievu savienība"	Rīga	29	1968	Saimnieciskās darbības veicējs	pašnodarbinātā persona
Artūrs Malta	14 Par Alternatīvu	Zemgale	1	1988	pašnodarbināts	pašnodarbināts
Artūrs Malta	14 Par Alternatīvu	Latgale	2	1939	Z/S "Veldzes 3"	direktors
Andrejs Mamikins	1 "Latvijas Krievu savienība"	Rīga	1	1976	Eiropas Parlaments	deputāts
Artūrs Mangulis	16 Zaļo un Zemnieku savienība	Vidzeme	9	1971	Ogres novada pašvaldība	Izglītības, kultūras un sporta jautājumu komitejas priekšsēdētājs
Anatolijs Marhilevičs	15 Politiskā partija "KPV LV"	Latgale	5	1990	Naujenes pagasta zemnieku saimniecība "Stepanida"	Īpašnieks
Dmitrijs Markovs	5 "PROGRESĪVIE"	Rīga	18	1985	SIA "Diena pirms Jāņu nakts"	Grafiskais dizainers
Arno Marnics	11 Latvijas Reģionu Apvienība	Rīga	17	1975	Rīgas Mākslas un mediju tehnikums	skolotājs
Laura Martinova	13 Jaunā VIENOTĪBA	Kurzeme	11	1990	Veselības inspekcija	Inspektore
Ludmila Martinova	1 "Latvijas Krievu savienība"	Zemgale	14	1976	Saimnieciskās darbības veicēja	pašnodarbinātā persona
Sandra Martinsone	5 "PROGRESĪVIE"	Rīga	3	1981	Ētiskās tirdzniecības iniciatīva (Lielbritānija)	Starptautiskās politikas eksperte
Andrejs Marudins	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	7	1971	SIA "MCB Būve"	Valdes loceklis
Anrijs Matīss	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	1	1973	Latvijas Republikas Saeima	12. Saeimas deputāts
Biruta Mauriņa	14 Par Alternatīvu	Rīga	12	1934	Pensionārs/pensionāre	
Jānis Mazitāns	11 Latvijas Reģionu Apvienība	Vidzeme	13	1986	Lielvārdes novada pašvaldības dome	deputāts
Ģirts Mazurs	16 Zaļo un Zemnieku savienība	Rīga	33	1970	Sociālo pakalpojumu aģentūra	Mentors
Oskars Mažāns	7 "LSDSP/KDS/GKL"	Rīga	9	1974	Rīgas domes Satiksmes departaments	satiksmes organizācijas un kustības drošības nodaļas galvenais speciālists (juriskonsults)
Zane Mākule	11 Latvijas Reģionu Apvienība	Rīga	31	1975	EUROAPTIEKA SIA	Aptiekas vadītāja
Jānis Mārciņš	11 Latvijas Reģionu Apvienība	Vidzeme	25	1944	Latvijas Kokapstrādes uzņēmēju un eksportētāju asociācija	padomnieks
Eva Mārtuža	2 Jaunā konservatīvā partija	Rīga	13	1954	Rīgas dome	Rīgas domes deputāte
Linda Medene	13 Jaunā VIENOTĪBA	Vidzeme	13	1991	Latvijas Republikas Saeima	konsultants
Mārtiņš Mediņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	11	1959	ZS "Silavēji"	vadītājs-īpašnieks
Linda Medne	2 Jaunā konservatīvā partija	Rīga	6	1968	Latvijas Lauksaimniecības Universitātes Pārtikas tehnoloģijas fakultāte	Docente
Edgars Mednis	8 No sirds Latvijai	Vidzeme	5	1962	ZS “Upmaļi”	Īpašnieks
Jānis Mednis	11 Latvijas Reģionu Apvienība	Rīga	24	1977	Biedrība "Latvijas Reģionālo un mazāk lietoto valodu savienība"	valdes priekšsēdētājs
Aleksejs Medvedevs	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	10	1983	Ventspils pilsētas dome	Administratīvās komsijas loceklis
Jānis Megnis	16 Zaļo un Zemnieku savienība	Kurzeme	11	1961	Rojas ostas pārvalde	Ostas pārvaldnieks, projektu vadītājs
Dace Meiere	10 Attīstībai/Par!	Rīga	24	1973	Pašnodarbināta persona	Tulkotāja
Aivars Meija	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	5	1955	Latvijas Republikas Saeima	12. Saeimas deputāts
Jānis Meirāns	11 Latvijas Reģionu Apvienība	Rīga	21	1983	SIA Ernst & Old	valdes loceklis
Dace Melbārde	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	1	1971	Valsts kanceleja	Latvijas Republikas kultūras ministre
Rihards Melgailis	11 Latvijas Reģionu Apvienība	Zemgale	2	1953	Latvijas Republikas Saeima	Saeimas deputāts
Ģederts Melngailis	14 Par Alternatīvu	Rīga	14	1951	Pensionārs/pensionāre	
Pāvels Melnis	5 "PROGRESĪVIE"	Vidzeme	17	1983	Zemnieks	
Indars Melzobs	2 Jaunā konservatīvā partija	Vidzeme	8	1979	"Lux Company" SIA	Prokūrists
Valērijs Meļkovs	3 Rīcības partija	Latgale	11	1988	Bezdarbnieks/bezdarbniece	
Gints Meļķerts	8 No sirds Latvijai	Zemgale	6	1970	SIA "ELVIS GM"	Valdes loceklis
Uldis Meļķisis	2 Jaunā konservatīvā partija	Rīga	30	1971	"Sociovides pētījumi" SIA	Valdes loceklis
Tamāra Meļņikova	3 Rīcības partija	Latgale	1	1969	Rīcības Partija	Valdes locekle
Igors Meļņikovs	3 Rīcības partija	Rīga	1	1969	Rīcības Partija	Valdes priekšsēdētājs
Aija Mežale	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	7	1972	SIA "Ananass"	Grāmatvede
Rūta Mežavilka	5 "PROGRESĪVIE"	Rīga	5	1971	A/S Latvijas Mediji	Maketētāja
Edgars Mežeckis	15 Politiskā partija "KPV LV"	Vidzeme	12	1973	SIA "Technohansa Build"	Valdes priekšsēdētājs
Romāns Mežeckis	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	6	1964	Latvijas Republikas Saeima	12. Saeimas deputāts
Ilze Meženiece	14 Par Alternatīvu	Rīga	11	1985	Bezdarbnieks/bezdarbniece	
Intars Mežinieks	13 Jaunā VIENOTĪBA	Latgale	15	1983	Preiļu 1.pamatskola	mūzikas skolotājs
Mareks Mežiņš	8 No sirds Latvijai	Kurzeme	9	1971	SIA „A M Una”	Valdes loceklis
Ainārs Mežulis	16 Zaļo un Zemnieku savienība	Vidzeme	5	1962	LR Saeima	Deputāts
Māris Mičerevskis	10 Attīstībai/Par!	Rīga	38	1982	Rīgas dome	Deputāts
Jurģis Miezainis	15 Politiskā partija "KPV LV"	Zemgale	10	1988	SIA "Jelgavfarm"	Komercdarbības speciālists
Pēteris Miezītis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	31	1976	SIA "Safrāns"	Struktūrvienības vadītājs
Aleksandrs Mihailovs	3 Rīcības partija	Latgale	3	1976	Bezdarbnieks/bezdarbniece	
